DscClasseConsumo,SigUF,SigTipoGeracao,periodo,TotalEmpreendimentos
Comercial,MS,UFV,2022-02,68
Rural,BA,UFV,2022-02,151
Residencial,RS,UFV,2022-02,53
Comercial,RO,UFV,2022-02,35
Poder Público,SP,UFV,2022-02,1
Industrial,PR,UFV,2022-02,87
Poder Público,RO,UFV,2022-02,29
Rural,RO,UFV,2022-02,65
Poder Público,MS,UFV,2022-02,1
Poder Público,PB,UFV,2022-02,3
Industrial,BA,UFV,2022-02,37
Residencial,SP,UFV,2022-02,49
Rural,PB,UFV,2022-02,13
Industrial,SP,UFV,2022-02,2
Rural,PR,UFV,2022-02,315
Comercial,BA,UFV,2022-02,475
Residencial,BA,UFV,2022-02,2243
Comercial,SP,UFV,2022-02,2
Poder Público,PR,UFV,2022-02,4
Residencial,PR,UFV,2022-02,1738
Comercial,PR,UFV,2022-02,233
Residencial,ES,UFV,2022-02,1
Industrial,MS,UFV,2022-02,10
Rural,MS,UFV,2022-02,55
Comercial,RS,UFV,2022-02,6
Rural,SP,UFV,2022-02,13
Poder Público,BA,UFV,2022-02,3
Industrial,PB,UFV,2022-02,5
Comercial,RO,UFV,2022-03,35
Comercial,PR,UFV,2022-03,339
Industrial,MS,UFV,2022-03,13
Rural,BA,UFV,2022-03,40
Industrial,PR,UFV,2022-03,89
Poder Público,MS,UFV,2022-03,1
Industrial,SP,UFV,2022-03,2
Rural,SP,UFV,2022-03,15
Rural,RO,UFV,2022-03,76
Industrial,GO,UFV,2022-03,1
Comercial,RS,UFV,2022-03,13
Residencial,SP,UFV,2022-03,28
Poder Público,PB,UFV,2022-03,3
Industrial,RS,UFV,2022-03,1
Residencial,PR,UFV,2022-03,2781
Rural,PB,UFV,2022-03,33
Residencial,RS,UFV,2022-03,100
Residencial,PB,UFV,2022-03,511
Residencial,GO,UFV,2022-03,18
Residencial,RO,UFV,2022-03,399
Comercial,BA,UFV,2022-03,105
Industrial,PB,UFV,2022-03,12
Comercial,PB,UFV,2022-03,105
Comercial,GO,UFV,2022-03,5
Poder Público,PR,UFV,2022-03,1
Residencial,MS,UFV,2022-03,624
Comercial,MS,UFV,2022-03,70
Rural,PR,UFV,2022-03,470
Rural,GO,UFV,2022-03,5
Residencial,BA,UFV,2022-03,512
Rural,MS,UFV,2022-03,56
Rural,RS,UFV,2022-03,8
Industrial,RO,UFV,2022-03,2
Comercial,SP,UFV,2022-03,3
Serviço Público,MS,UFV,2022-03,2
Industrial,BA,UFV,2022-03,7
Residencial,PB,UFV,2022-04,543
Rural,BA,UFV,2022-04,25
Poder Público,BA,UFV,2022-04,1
Industrial,SP,UFV,2022-04,1
Comercial,PR,UFV,2022-04,338
Comercial,GO,UFV,2022-04,1
Residencial,MS,UFV,2022-04,2170
Rural,RO,CGH,2022-04,1
Rural,SP,UFV,2022-04,8
Industrial,RO,UFV,2022-04,1
Poder Público,MS,UFV,2022-04,2
Residencial,GO,UFV,2022-04,5
Comercial,BA,UFV,2022-04,113
Rural,PB,UFV,2022-04,30
Industrial,MS,UFV,2022-04,38
Comercial,MS,UFV,2022-04,203
Residencial,PR,UFV,2022-04,2573
Residencial,BA,UFV,2022-04,550
Rural,RS,UFV,2022-04,23
Comercial,RO,UFV,2022-04,36
Residencial,RO,UFV,2022-04,363
Poder Público,PR,UFV,2022-04,3
Rural,MS,UFV,2022-04,207
Residencial,SP,UFV,2022-04,45
Industrial,PB,UFV,2022-04,4
Comercial,RS,UFV,2022-04,10
Industrial,BA,UFV,2022-04,9
Comercial,SP,UFV,2022-04,3
Industrial,PR,UFV,2022-04,106
Rural,RO,UFV,2022-04,88
Residencial,RS,UFV,2022-04,106
Rural,PR,UFV,2022-04,471
Comercial,PB,UFV,2022-04,111
Comercial,GO,UFV,2022-05,1
Rural,MS,UFV,2022-05,234
Residencial,GO,UFV,2022-05,15
Industrial,PB,UFV,2022-05,12
Comercial,BA,UFV,2022-05,214
Industrial,MS,UFV,2022-05,46
Residencial,BA,UFV,2022-05,1263
Comercial,MS,UFV,2022-05,222
Comercial,RS,UFV,2022-05,15
Residencial,MS,UFV,2022-05,2482
Industrial,GO,UFV,2022-05,1
Comercial,PR,UFV,2022-05,374
Residencial,PR,UFV,2022-05,2757
Residencial,RO,UFV,2022-05,381
Rural,RO,UTE,2022-05,1
Poder Público,PR,UFV,2022-05,5
Industrial,BA,UFV,2022-05,14
Comercial,SP,UFV,2022-05,2
Rural,RO,UFV,2022-05,153
Poder Público,BA,UFV,2022-05,1
Residencial,RS,UFV,2022-05,101
Rural,GO,UFV,2022-05,1
Comercial,PB,UFV,2022-05,89
Rural,PR,UFV,2022-05,471
Rural,RS,UFV,2022-05,17
Rural,SP,UFV,2022-05,10
Poder Público,PB,UFV,2022-05,2
Residencial,SP,UFV,2022-05,69
Residencial,PB,UFV,2022-05,566
Rural,BA,UFV,2022-05,84
Rural,PB,UFV,2022-05,36
Industrial,PR,UFV,2022-05,132
Comercial,RO,UFV,2022-05,47
Residencial,PR,UFV,2022-06,1164
Residencial,RO,UFV,2022-06,390
Rural,RS,UFV,2022-06,588
Poder Público,PR,UFV,2022-06,3
Poder Público,SP,UFV,2022-06,1
Poder Público,PB,UFV,2022-06,4
Industrial,RO,UFV,2022-06,5
Rural,SP,UFV,2022-06,14
Residencial,SP,UFV,2022-06,83
Comercial,SP,UFV,2022-06,9
Poder Público,RS,UFV,2022-06,6
Poder Público,RO,UFV,2022-06,1
Industrial,RS,UFV,2022-06,55
Rural,GO,UFV,2022-06,3
Rural,MS,UFV,2022-06,223
Rural,RO,UFV,2022-06,145
Residencial,RS,UFV,2022-06,3833
Poder Público,MS,UFV,2022-06,3
Comercial,PR,UFV,2022-06,179
Comercial,GO,UFV,2022-06,5
Comercial,BA,UFV,2022-06,2
Comercial,PB,UFV,2022-06,91
Industrial,PB,UFV,2022-06,14
Residencial,BA,UFV,2022-06,27
Rural,PB,UFV,2022-06,30
Industrial,MS,UFV,2022-06,28
Rural,BA,UFV,2022-06,2
Comercial,RO,UFV,2022-06,58
Industrial,SP,UFV,2022-06,2
Residencial,GO,UFV,2022-06,7
Rural,PR,UFV,2022-06,326
Residencial,PB,UFV,2022-06,460
Comercial,RS,UFV,2022-06,261
Comercial,MS,UFV,2022-06,174
Industrial,PR,UFV,2022-06,74
Residencial,MS,UFV,2022-06,1954
Poder Público,PR,UFV,2022-07,1
Poder Público,MS,UFV,2022-07,6
Rural,PR,UFV,2022-07,289
Rural,GO,UFV,2022-07,2
Comercial,PB,UFV,2022-07,144
Rural,MS,UFV,2022-07,309
Rural,PB,UFV,2022-07,44
Poder Público,RO,UFV,2022-07,2
Comercial,MS,UFV,2022-07,279
Poder Público,PB,UFV,2022-07,4
Residencial,GO,UFV,2022-07,28
Poder Público,SP,UFV,2022-07,4
Comercial,MG,UFV,2022-07,1
Rural,SP,UFV,2022-07,41
Industrial,SP,UFV,2022-07,7
Residencial,MS,UFV,2022-07,2076
Industrial,RS,UFV,2022-07,3
Comercial,RO,UFV,2022-07,57
Rural,RO,UFV,2022-07,81
Industrial,PR,UFV,2022-07,44
Industrial,PB,UTE,2022-07,1
Industrial,MS,UFV,2022-07,40
Residencial,PB,UFV,2022-07,571
Comercial,SP,UFV,2022-07,42
Comercial,GO,UFV,2022-07,4
Comercial,PR,UFV,2022-07,175
Industrial,RO,UFV,2022-07,3
Residencial,SP,UFV,2022-07,226
Residencial,RO,UFV,2022-07,298
Comercial,RS,UFV,2022-07,23
Residencial,PR,UFV,2022-07,805
Residencial,RS,UFV,2022-07,324
Rural,RS,UFV,2022-07,38
Industrial,PB,UFV,2022-07,11
Residencial,RN,UFV,2022-07,1
Poder Público,PB,UFV,2022-08,4
Comercial,BA,UFV,2022-08,10
Rural,RS,UFV,2022-08,58
Industrial,PR,UFV,2022-08,50
Rural,BA,UFV,2022-08,4
Industrial,GO,UFV,2022-08,1
Residencial,RR,UFV,2022-08,1
Comercial,PB,UFV,2022-08,107
Rural,RO,UFV,2022-08,119
Comercial,MS,UFV,2022-08,227
Rural,PR,UFV,2022-08,261
Poder Público,PR,UFV,2022-08,1
Residencial,RN,UFV,2022-08,1
Rural,MS,UFV,2022-08,279
Comercial,RS,UFV,2022-08,23
Residencial,SP,UFV,2022-08,959
Residencial,RO,UFV,2022-08,340
Residencial,PB,UFV,2022-08,488
Comercial,RO,UFV,2022-08,78
Comercial,PR,UFV,2022-08,166
Rural,GO,UFV,2022-08,4
Residencial,RS,UFV,2022-08,181
Poder Público,RO,UFV,2022-08,2
Rural,SP,UFV,2022-08,96
Comercial,SP,UFV,2022-08,124
Poder Público,RS,UFV,2022-08,1
Industrial,PB,UFV,2022-08,12
Industrial,RO,UFV,2022-08,4
Residencial,GO,UFV,2022-08,39
Residencial,BA,UFV,2022-08,31
Industrial,SP,UFV,2022-08,16
Residencial,PR,UFV,2022-08,838
Industrial,MS,UFV,2022-08,19
Poder Público,SP,UFV,2022-08,6
Comercial,GO,UFV,2022-08,3
Industrial,RS,UFV,2022-08,1
Rural,PB,UFV,2022-08,36
Residencial,MS,UFV,2022-08,1988
Comercial,RN,UFV,2022-08,1
Industrial,BA,UFV,2022-08,2
Comercial,RS,CGH,2022-09,1
Residencial,RS,UFV,2022-09,2702
Industrial,RN,UFV,2022-09,1
Comercial,RS,UFV,2022-09,211
Rural,SP,UFV,2022-09,174
Residencial,SP,UFV,2022-09,1489
Industrial,PB,UFV,2022-09,8
Residencial,BA,UFV,2022-09,31
Industrial,PR,UFV,2022-09,53
Rural,PB,UFV,2022-09,31
Rural,MS,UFV,2022-09,231
Comercial,MS,UFV,2022-09,203
Industrial,MS,UFV,2022-09,22
Comercial,RO,UFV,2022-09,41
Rural,RN,UFV,2022-09,11
Residencial,PR,UFV,2022-09,761
Poder Público,SP,UFV,2022-09,2
Residencial,MS,UFV,2022-09,1513
Poder Público,PB,UFV,2022-09,5
Comercial,GO,UFV,2022-09,2
Industrial,BA,UFV,2022-09,2
Comercial,RN,UFV,2022-09,48
Rural,BA,UFV,2022-09,2
Serviço Público,RS,UFV,2022-09,1
Comercial,PR,UFV,2022-09,155
Industrial,RO,UFV,2022-09,7
Poder Público,RS,UFV,2022-09,7
Industrial,RS,UFV,2022-09,57
Comercial,SP,UFV,2022-09,205
Rural,GO,UFV,2022-09,2
Industrial,SP,UFV,2022-09,33
Residencial,PB,UFV,2022-09,422
Residencial,GO,UFV,2022-09,15
Comercial,PB,UFV,2022-09,110
Rural,RS,UFV,2022-09,657
Comercial,BA,UFV,2022-09,12
Poder Público,MS,UFV,2022-09,2
Poder Público,PR,UFV,2022-09,1
Rural,RO,UFV,2022-09,92
Rural,PR,UFV,2022-09,249
Serviço Público,MS,UFV,2022-09,1
Residencial,RO,UFV,2022-09,345
Residencial,RN,UFV,2022-09,161
Serviço Público,SP,UFV,2022-10,1
Poder Público,PR,UFV,2022-10,6
Industrial,MS,UFV,2022-10,35
Residencial,PR,UFV,2022-10,1774
Comercial,SP,UFV,2022-10,429
Iluminação pública,RN,UFV,2022-10,3
Comercial,RS,UFV,2022-10,446
Rural,SP,UTE,2022-10,2
Residencial,RO,UFV,2022-10,370
Residencial,BA,UFV,2022-10,31
Serviço Público,PR,UFV,2022-10,1
Poder Público,RN,UFV,2022-10,3
Residencial,RN,UFV,2022-10,1150
Rural,RO,UFV,2022-10,158
Comercial,MS,UFV,2022-10,199
Poder Público,SP,UFV,2022-10,6
Poder Público,RS,UFV,2022-10,21
Rural,SP,UFV,2022-10,310
Comercial,RO,UFV,2022-10,43
Industrial,SP,UFV,2022-10,94
Rural,RS,UTE,2022-10,1
Residencial,PB,UFV,2022-10,386
Rural,BA,UFV,2022-10,4
Residencial,MS,UFV,2022-10,1700
Rural,RN,UFV,2022-10,45
Rural,PR,UFV,2022-10,571
Comercial,RN,UFV,2022-10,181
Comercial,PB,UFV,2022-10,134
Comercial,PR,UFV,2022-10,314
Rural,RS,UFV,2022-10,1379
Poder Público,PB,UFV,2022-10,2
Industrial,RN,UFV,2022-10,9
Industrial,RO,UFV,2022-10,5
Residencial,SP,UFV,2022-10,4477
Rural,MS,UFV,2022-10,271
Poder Público,MS,UFV,2022-10,6
Industrial,PR,UFV,2022-10,128
Industrial,RS,UFV,2022-10,98
Residencial,RS,UFV,2022-10,6153
Comercial,BA,UFV,2022-10,5
Rural,PB,UFV,2022-10,42
Industrial,PB,UFV,2022-10,16
Comercial,GO,UFV,2022-10,1
Industrial,RS,UFV,2022-11,86
Residencial,PB,UFV,2022-11,438
Iluminação pública,RN,UFV,2022-11,2
Poder Público,SP,UFV,2022-11,14
Rural,GO,UFV,2022-11,1
Residencial,MS,UFV,2022-11,2036
Comercial,SP,UFV,2022-11,893
Residencial,GO,UFV,2022-11,14
Comercial,GO,UFV,2022-11,4
Industrial,RS,UTE,2022-11,1
Comercial,PR,UFV,2022-11,159
Poder Público,RO,UFV,2022-11,3
Poder Público,RN,UFV,2022-11,2
Industrial,RO,UFV,2022-11,3
Industrial,SP,UFV,2022-11,137
Poder Público,PR,UFV,2022-11,2
Poder Público,RS,UFV,2022-11,20
Comercial,RN,UFV,2022-11,190
Rural,SP,UFV,2022-11,567
Residencial,RN,UFV,2022-11,1194
Poder Público,MS,UFV,2022-11,3
Residencial,RS,UFV,2022-11,6424
Residencial,BA,UFV,2022-11,1
Industrial,PB,UFV,2022-11,15
Rural,PB,UFV,2022-11,27
Comercial,MS,UFV,2022-11,227
Comercial,RO,UFV,2022-11,65
Industrial,PR,UFV,2022-11,49
Rural,MS,UFV,2022-11,274
Residencial,SP,UFV,2022-11,9592
Comercial,RS,UFV,2022-11,420
Poder Público,PB,UFV,2022-11,2
Industrial,RN,UFV,2022-11,7
Residencial,PR,UFV,2022-11,760
Rural,RS,UTE,2022-11,1
Rural,RO,UFV,2022-11,121
Residencial,PB,UTE,2022-11,1
Rural,RS,UFV,2022-11,1508
Rural,RN,UFV,2022-11,40
Industrial,MS,UFV,2022-11,34
Residencial,RO,UFV,2022-11,388
Comercial,PB,UFV,2022-11,108
Serviço Público,SP,UFV,2022-11,1
Rural,PR,UFV,2022-11,285
Comercial,GO,UFV,2022-12,12
Comercial,BA,UFV,2022-12,1
Rural,RO,UFV,2022-12,160
Rural,RN,UFV,2022-12,65
Rural,SP,UFV,2022-12,460
Rural,RS,UFV,2022-12,839
Serviço Público,SP,UFV,2022-12,2
Industrial,SP,UFV,2022-12,111
Industrial,RO,UFV,2022-12,5
Comercial,RS,UFV,2022-12,199
Poder Público,PB,UFV,2022-12,9
Residencial,RS,UFV,2022-12,4796
Industrial,PR,UFV,2022-12,1
Poder Público,MS,UFV,2022-12,5
Industrial,PB,UFV,2022-12,14
Residencial,GO,UFV,2022-12,24
Comercial,RO,UFV,2022-12,79
Residencial,SP,UFV,2022-12,9819
Rural,GO,UFV,2022-12,2
Comercial,RN,UFV,2022-12,291
Residencial,PB,UFV,2022-12,627
Industrial,RS,UFV,2022-12,36
Industrial,RN,UFV,2022-12,9
Residencial,RO,UFV,2022-12,573
Residencial,MS,UFV,2022-12,2439
Rural,MS,UFV,2022-12,339
Poder Público,RS,UFV,2022-12,7
Comercial,PB,UFV,2022-12,131
Iluminação pública,RN,UFV,2022-12,1
Industrial,GO,UFV,2022-12,1
Poder Público,RN,UFV,2022-12,3
Poder Público,SP,UFV,2022-12,11
Comercial,MS,UFV,2022-12,228
Rural,PB,UFV,2022-12,67
Poder Público,RO,UFV,2022-12,13
Residencial,BA,UFV,2022-12,6
Comercial,SP,UFV,2022-12,795
Industrial,MS,UFV,2022-12,50
Residencial,RN,UFV,2022-12,1834
Residencial,SP,UFV,2023-01,543
Rural,BA,UFV,2023-01,5
Residencial,PB,UFV,2023-01,692
Residencial,MS,UFV,2023-01,2995
Industrial,RN,UFV,2023-01,6
Iluminação pública,RN,UFV,2023-01,3
Comercial,RO,UFV,2023-01,83
Industrial,PB,UFV,2023-01,18
Comercial,SP,UFV,2023-01,68
Industrial,MS,UFV,2023-01,55
Residencial,RO,UFV,2023-01,531
Residencial,RN,UFV,2023-01,2259
Comercial,BA,UFV,2023-01,14
Rural,RO,UFV,2023-01,139
Poder Público,PB,UFV,2023-01,6
Rural,SP,UFV,2023-01,50
Rural,MS,UFV,2023-01,405
Industrial,RO,UFV,2023-01,4
Poder Público,SP,UFV,2023-01,1
Rural,RN,UFV,2023-01,59
Rural,PB,UFV,2023-01,42
Poder Público,MS,UFV,2023-01,18
Residencial,GO,UFV,2023-01,17
Comercial,PB,UFV,2023-01,152
Poder Público,RN,UFV,2023-01,2
Rural,GO,UFV,2023-01,1
Comercial,RN,UFV,2023-01,297
Industrial,SP,UFV,2023-01,6
Poder Público,RO,UFV,2023-01,5
Comercial,MS,UFV,2023-01,296
Comercial,GO,UFV,2023-01,3
Residencial,BA,UFV,2023-01,57
Poder Público,RN,UFV,2023-02,3
Poder Público,RO,UFV,2023-02,12
Comercial,GO,UFV,2023-02,3
Residencial,MS,UFV,2023-02,1366
Industrial,MS,UFV,2023-02,21
Poder Público,PB,UFV,2023-02,12
Poder Público,MS,UFV,2023-02,1
Industrial,PB,UFV,2023-02,69
Residencial,GO,UFV,2023-02,18
Industrial,SP,UFV,2023-02,1
Residencial,PB,UFV,2023-02,468
Rural,RO,UFV,2023-02,145
Industrial,RN,UFV,2023-02,3
Industrial,RO,UFV,2023-02,4
Residencial,ES,UFV,2023-02,2
Residencial,RN,UFV,2023-02,1624
Residencial,RO,UFV,2023-02,385
Comercial,RN,UFV,2023-02,248
Comercial,MS,UFV,2023-02,143
Rural,GO,UFV,2023-02,1
Rural,PR,UFV,2023-02,1
Comercial,PB,UFV,2023-02,115
Rural,MS,UFV,2023-02,180
Comercial,RO,UFV,2023-02,70
Iluminação pública,RN,UFV,2023-02,2
Rural,PB,UFV,2023-02,37
Comercial,SP,UFV,2023-02,1
Rural,RN,UFV,2023-02,78
Residencial,SP,UFV,2023-02,13
Comercial,GO,UFV,2023-03,3
Comercial,RO,UFV,2023-03,69
Comercial,PB,UFV,2023-03,157
Residencial,PB,UFV,2023-03,492
Rural,RN,UFV,2023-03,77
Poder Público,PB,UFV,2023-03,17
Industrial,RN,UFV,2023-03,12
Rural,GO,UFV,2023-03,3
Residencial,GO,UFV,2023-03,6
Residencial,MS,UFV,2023-03,160
Rural,ES,UFV,2023-03,202
Poder Público,ES,UFV,2023-03,12
Rural,ES,UTE,2023-03,1
Residencial,SP,UFV,2023-03,33
Rural,SP,UFV,2023-03,2
Residencial,ES,UFV,2023-03,577
Comercial,RN,UFV,2023-03,233
Poder Público,RO,UFV,2023-03,14
Industrial,ES,UFV,2023-03,14
Comercial,SP,UFV,2023-03,4
Comercial,MS,UFV,2023-03,12
Residencial,RO,UFV,2023-03,404
Poder Público,RN,UFV,2023-03,6
Residencial,RN,UFV,2023-03,1347
Industrial,MS,UFV,2023-03,4
Rural,PB,UFV,2023-03,50
Rural,PE,UFV,2023-03,1
Rural,MS,UFV,2023-03,21
Comercial,ES,UFV,2023-03,91
Industrial,PB,UFV,2023-03,11
Industrial,RO,UFV,2023-03,8
Rural,RO,UFV,2023-03,131
Poder Público,ES,UFV,2023-04,31
Poder Público,PB,UFV,2023-04,8
Serviço Público,RN,UFV,2023-04,1
Residencial,ES,UFV,2023-04,866
Rural,PB,UFV,2023-04,28
Comercial,PB,UFV,2023-04,97
Poder Público,RN,UFV,2023-04,2
Rural,RN,UFV,2023-04,37
Residencial,RN,UFV,2023-04,830
Comercial,RN,UFV,2023-04,160
Comercial,RO,UFV,2023-04,39
Rural,RO,UFV,2023-04,81
Rural,ES,UFV,2023-04,367
Industrial,PB,UFV,2023-04,17
Industrial,ES,UFV,2023-04,27
Residencial,RO,UFV,2023-04,247
Industrial,RN,UFV,2023-04,7
Comercial,ES,UFV,2023-04,140
Residencial,SP,UFV,2023-04,6
Residencial,PB,UFV,2023-04,390
Industrial,PB,UFV,2023-05,51
Comercial,RO,UFV,2023-05,59
Residencial,RN,UFV,2023-05,957
Residencial,ES,UFV,2023-05,940
Rural,PB,UFV,2023-05,41
Poder Público,RN,UFV,2023-05,4
Rural,RO,UFV,2023-05,105
Industrial,ES,UFV,2023-05,36
Comercial,ES,UFV,2023-05,197
Residencial,RO,UFV,2023-05,270
Comercial,RN,UFV,2023-05,168
Residencial,SP,UFV,2023-05,3
Poder Público,PB,UFV,2023-05,2
Industrial,PR,UFV,2023-05,1
Residencial,PB,UFV,2023-05,394
Residencial,MG,UFV,2023-05,1
Rural,ES,UFV,2023-05,370
Comercial,PB,UFV,2023-05,127
Poder Público,ES,UFV,2023-05,16
Rural,PR,UFV,2023-05,1
Rural,RN,UFV,2023-05,51
Industrial,RN,UFV,2023-05,8
Residencial,GO,UFV,2023-05,1
Industrial,ES,UFV,2023-06,7
Rural,ES,UFV,2023-06,62
Rural,PB,UFV,2023-06,7
Poder Público,PB,UFV,2023-06,4
Comercial,ES,UFV,2023-06,16
Comercial,PB,UFV,2023-06,24
Residencial,RO,UFV,2023-06,87
Comercial,RO,UFV,2023-06,13
Residencial,PB,UFV,2023-06,98
Residencial,ES,UFV,2023-06,106
Rural,RO,UFV,2023-06,28
Industrial,PB,UFV,2023-06,2
